Year,Consolidation_Type,Consolidated_Outside_Revenue,Consolidated_EV,EV_Revenue_Ratio,Revenue_Growth_YOY,EV_Growth_YOY,Internal_Revenue_Removed
2023,Full-Company,364107000000,4168310000000,11.45,,,-4140000000
2024,Full-Company,430327000000,6297760000000,14.63,18.18,51.06,-16000000000
2025 LTM,Full-Company,494130000000,8276100000000,16.75,14.83,31.41,-27500000000
2023,AI-Attributable,122607000000,4168310000000,34.00,,,-4140000000
2024,AI-Attributable,166827000000,6297760000000,37.75,36.06,51.06,-16000000000
2025 LTM,AI-Attributable,223630000000,8276100000000,37.01,34.03,31.41,-27500000000
